oficio4_08,nombre,n,n_h,n_m,gap_ajustado_pct,p_valor,p_fdr,significativo,sig_fdr,brecha_cruda_pct
2330,Profesores de educación media,1099,480,619,-4.575631216758447,0.1520747580349,0.25796384881475626,False,False,-4.601238766771543
2635,Profesionales del trabajo social,1153,183,970,-4.418224098144785,0.39338525562675053,0.5118478610143515,False,False,-5.670690280752466
2642,Periodistas,317,165,152,-3.8755853071424484,0.5793465009330725,0.6923601789612386,False,False,3.196420187565696
7511,Carniceros y pescaderos,791,472,319,-3.475791287260066,0.3380806782723762,0.45810932144600086,False,False,-4.386921179490244
2341,Profesores de educación básica,2568,717,1851,-3.3891912607324937,0.13293393671429587,0.2324879588217724,False,False,-1.1855432711433744
9111,Trabajadores de casa particular y asistentes domésticos,4939,75,4864,-3.169558703028763,0.7890429029596442,0.8563546197998033,False,False,-3.7181308873573737
8321,Conductores de motocicletas,372,321,51,-3.1221194185258483,0.7283286651123302,0.8096469141297263,False,False,-5.444438557540376
2519,Otros desarrolladores y analistas de software y multimedia no clasificados previamente,169,134,35,-3.064075706287539,0.7762403749408795,0.8505217505333081,False,False,-7.029483201177145
8344,Operadores de autoelevadoras y montacargas,639,612,27,-2.4147802721585454,0.6869420427713653,0.7826354616648887,False,False,-4.633164361281872
2431,Profesionales de la publicidad y la comercialización,375,192,183,-2.380579061510857,0.780702283222438,0.8513372517044681,False,False,-11.62148253944607
2221,Enfermeros profesionales,1142,183,959,-2.100588392928726,0.7743514048052136,0.8505217505333081,False,False,-3.4620116498269904
2634,Psicólogos,1016,289,727,-1.8436880352707075,0.738821809140622,0.8173439337835867,False,False,-8.27382898152954
3121,Supervisores de minas,290,270,20,-1.515542368878342,0.9382110942820765,0.9615399626063049,False,False,-6.48323752750406
3142,Técnicos agropecuarios (incluyendo acuícolas),228,155,73,-1.4852457616743697,0.8381036596439417,0.9053100851814275,False,False,-5.371555113712468
2241,Dentistas,336,144,192,-1.378658756362261,0.8967456295393823,0.9463352496060763,False,False,-13.617718207217056
2359,Otros profesionales de la educación no clasificados previamente,649,179,470,-1.3426882304523713,0.9159842386375097,0.9529548879279668,False,False,-12.778308404545069
8332,Conductores de camiones pesados y de alto tonelaje,3975,3891,84,-1.031997122898587,0.8904511511769388,0.9463352496060763,False,False,6.640055220037544
9629,Otras ocupaciones elementales no clasificadas previamente,171,120,51,-0.9298629226490496,0.9462963376439326,0.9631193836464914,False,False,-0.2787182136236632
